all_authors,year_published,title,publisher,volume,document_link,date_uploaded,abstract,keywords,pdf_path,cleaned,start,end
"Afonichev, D.",2003,High-Frequency Radiation And Tritium Channel,Tenth International Conference on Cold Fusion,,http://lenr-canr.org/acrobat/AfonichevDhighfreque.pdf,2023-05-09,"In the process of deformation at a temperature T=710?C of titanium alloy samples preliminarily saturated by deuterium a radiation, which is not a neutron flow was detected. Electromagnetic radiation in the range of radio frequencies was detected in titanium alloy samples in the process of their saturation by deuterium. The probable mechanism of its occurrence may be a retardation of charged particles in the metallic matrix.","tritium, neutron, Ti",24_AfonichevDhighfreque.pdf,,,
"Afonichev, D.",2003,Ascending Diffusion Or Transmutation,Tenth International Conference on Cold Fusion,,http://lenr-canr.org/acrobat/AfonichevDascendingd.pdf,2018-12-20,In any field of investigations new ideas in combination with newly developed equipment can provide advance results. In view of arising interest to cold nuclear fusion (CNF) [1] and searches for consequences of its occurrence the study of the interaction of hydrogen with metals has coincided with the wide spread of the micro-probe X-ray spectrum analysis. This analysis is performed during measurements of alloying element concentration [1] with resolution of about 1x1 ?m2.,transmutation,25_AfonichevDascendingd.pdf,,,
"Afonichev, D., Murzinova, M.",2003,Indicator of the process of cold fusion,Int. J. Hydrogen Energy,28,https://www.sciencedirect.com/science/article/pii/S0360319902001726?casa_token=_bmh4rHYNowAAAAA:ECzTm3A5myFDLv4009wDryXMK4nJMwdGqEcz9q106wQd31_siQ704GfNjBtRqEnj_4uF1nYg,,"In the process of deformation at a temperature t=710 C
 of titanium alloy samples preliminarily saturated by deuterium radiation, which is not a neutron flow was detected. Moreover, an excess concentration of tritium was detected in these samples. The radiation detected is evidently of an electromagnetic origin with a spectrum in the range of radio frequencies.

Electromagnetic radiation in the range of radio frequencies was detected in titanium alloy samples in the process of their saturation by deuterium. The probable mechanism of its occurrence may be a retardation of charged particles in the metallic matrix.","Cold nuclear fusion, Titanium, Deuterium, Tritium, Electromagnetic radiation, Radio frequencies",Indicator of the process of cold fusion.pdf,,,
"Afonichev, D.",2009,About products of nucleus reactions during diffusion of deuterium through palladium membrane (PowerPoint slides),15th International Conference on Condensed Matter Nuclear Science,,http://lenr-canr.org/acrobat/AfonichevDaboutprodu.pdf,2010-06-08,"On the basis of the results of our previous experiments on deformation of deuterium saturated titanium alloy samples and saturation of titanium alloys, the mechanism of cold nuclear fusion proceeding via the tritium channel is proposed.",Tritium,27_AfonichevDaboutprodu.pdf,,,
"Afonichev, D., Galkin, E. G.",2009,On the products of nucleus reactions formed during deuterium diffusion through palladium membrane,15th International Conference on Condensed Matter Nuclear Science,,http://lenr-canr.org/acrobat/ViolanteVproceedinga.pdf#page=54,2013-08-05,"We report on the results of experimental observation of interaction of deuterons in a palladium membrane in deuterium gas under the pressure of P=0,07 Mpa. The temperature fluctuation with an amplitude of Delta T= 4 / 5?C was observed. After a 42 hour experiment, a significant increase in the number of of tritium (3T) atoms, N>109, has been revealed, while no traces of 4He have been found.",,28_ViolanteVproceedinga.pdf,,54.0,56.0
"Agelao, G., Romano, M. C.",2000,Heat and helium production during exothermic reactions between gases through palladium geometrical elements loaded with hydrogen,Fusion Technol.,38,https://www.tandfonline.com/doi/abs/10.13182/FST00-A144?casa_token=cahRUX5BL7UAAAAA:1yxpzmblvNJ4pMVwdATdQP8fqTf488BvJ3FypnMXsLBwGTe2u2730tPDBOdRqc9DB1PeFjBJ2ZhELg,,"In this research, the effect of the shape of hydrogen-loaded palladium elements on exothermic reactions between gases is shown. It was found that an element with parts of its surface next to each other spontaneously triggers reactions, whereas an element whose surfaces are not next to each other needs outside triggering. The heat developed makes the temperature of the elements rise even by a few hundredths of a degree centigrade.

Through photographic techniques, it was shown that the elements, when releasing heat, emit radiation connected to nuclear fusion reactions. These reactions, confirmed also by the analysis of the used hydrogen, showed helium formation. All these tests have confirmed the reproducibility of the phenomenon.","D2 Pd foil, film health",Heat and helium production during exothermic reactions between gases through palladium geometrical elements loaded with hydrogen.pdf,,,
"Agnello, M., Bressani, T., Calvo, D., Feliciello, A., Iazzi, F., Minetti, B., Cherubini, R., Haque, A. M. I., Ricci, R. A.",1990,Search for Neutron Emission in Titanium-Deuterium Systems,"Anomalous Nuclear Effects in Deuterium/Solid Systems, ""AIP Conference Proceedings 228""",1,,,The first preliminary results on the neutron emission from a D2‐Ti system by means of a neutron detector using the double scattering technique are reported. The Ti system was observed during the absorption of the deuterium in a cooling phase; analogous measurements with H2 replacing the D2 were performed in order to use them as blank.,"neutron, Ti, D2",Search for Neutron Emission in Titanium-Deuterium Systems.pdf,,,
"Agnello, M., Iazzi, F., Minetti, B., Botta, E., Bressani, T., Brunasso, O., Calvo, D., Dattola, D., Gianotti, P., Lamberti, C., Zecchina, A.",1991,Improvement of the TOFUS Apparatus,"Second Annual Conference on Cold Fusion, ""The Science of Cold Fusion""",1,http://lenr-canr.org/acrobat/SIFthescience.pdf#page=264,2018-11-16,"The TOFUS experiment was started in order to detect 2.45 Me V neutrons emitted from a Ti/D system in the gas phase. Improvements in the electronics of the neutron detector, based on the double scattering technique, and in the performances of a new cell are described.","apparatus, method, neutron, ICCF-2",31_SIFthescience.pdf,,264.0,269.0
"Agnello, M., Botta, E., Bressani, T., Calvo, D., Feliciello, A., Gianotti, P., Iazzi, F., Lamberti, C., Minetti, B., Zecchina, A.",1992,Measurement of 2.5 MeV Neutron Emission from Ti/D and Pd/D Systems,"Third International Conference on Cold Fusion, ""Frontiers of Cold Fusion""",1,http://lenr-canr.org/acrobat/IkegamiHthirdintera.pdf#page=172,2018-12-04,"A new set of measurements of neutron emission from gas (D2 and H2) loaded Ti and Pd systems has been carried out in the TOFUS experiment. The temperature and pressure controls of the gas loading apparatus were improved. The results concerning the Ti/D system show the presence of a small 2.5 MeV neutron emission, with a signal having a statistical significance of ~ 5 sigma. The results on the Pd/D system doesn't show a statistically significant signal (less ~ 2 sigma).","Ti, Pd, neutron, D2, ICCF-3",32_IkegamiHthirdintera.pdf,,172.0,175.0
"Agostino, R. G., Filosa, R., Formoso, V., Liberti, G., De Ninno, A., D'Acapito, F., Colonna, S.",2000,Electronic Fingerprint of D Site Occupation in Pd Deuteride,8th International Conference on Cold Fusion,1,,,,"Pd, PdD, structure, ICCF-8",,,,
"Ahern, B. S., Johnson, K. H., Clark, Jr. , H. R.",1995,Method of Maximizing Anharmonic Oscillations in Deuterated Alloys,"US Patent #5,411,654",,,,,,,,,
"Ahern, B. S.",2012,Energy Localization The key to Understanding Energy in Nanotechnology & Nature (PowerPoint slides),"International Low Energy Nuclear Reactions Symposium, ILENRS-12",,http://lenr-canr.org/acrobat/AhernBSenergyloca.pdf,2012-09-04,Nature assembles ordered structures out of chaos without a temperature gradient or energy input.Systems generally go from ordered to chaotic.How does nature go from the chaotic to ordered?,Theory,35_AhernBSenergyloca.pdf,,,
"Aiello, S., De Filippo, E., Lanzano, G., Lo Nigro, S., Pagano, A.",1990,Nuclear fusion experiment in palladium charged by deuterium gas,Fusion Technol.,18,https://www.tandfonline.com/doi/abs/10.13182/FST90-A29236?casa_token=qpbzVuROiLsAAAAA:7A5Emlis2FohPNzQhWH58o9obnVEpAeHEX_AIJTMeiD6V0C5yD_zmI8tTYICeSm0Uo8TQN2jRYuxFw,,"A palladium-deuterium system subject to different experimental thermodynamic conditions was studied to look for low-temperature d-d fusion reactions. Neutrons, light charged particles, and energetic gamma rays were detected. No significant effects were observed in the neutron and gamma-ray measurements. From the analysis of the light charged particles, a fusion rate λf ≈ 10−23 event/(D2 × s) was deduced.","neutron, Ti, D2, Pd, gamma emission, particle emission",Nuclear fusion experiment in palladium charged by deuterium gas.pdf,,,
"Aina, R., Mastromatteo, U.",2009,Investigation of anomalous densities of high-energy alpha-particles tracks in CR-39 detectors during electrolysis of heavy water on palladium cathodes (PowerPoint slides),15th International Conference on Condensed Matter Nuclear Science,,http://lenr-canr.org/acrobat/AinaRinvestigat.pdf,2010-06-08,"No meaningful evidence of specific particle emission with E>2.5 MeV during D2O electrolysis (comparable track count), with or without Pd codeposition.","cr-39, particle emission",37_AinaRinvestigat.pdf,,,
"Aizawa, H., Mita, K., Mizukami, D., Uno, H., Yamada, H.",2014,Detecting Energetic Charged Particle in D2O and H2O Electrolysis Using a Simple Arrangement of Cathode and CR-39,J. Condensed Matter Nucl. Sci.,13,http://lenr-canr.org/acrobat/BiberianJPjcondensedl.pdf#page=16,2014-10-27,Electrolysis of D2O and H2O solutions is carried out under several DC current patterns using a Ni film cathode. A CR-39 track detector is set in close contact with the cathode to detect an energetic charged particle. An impressive increasing in number of etch pit is occasionally observed.,"Charged particle, CR-39",38_BiberianJPjcondensedl.pdf,,16.0,22.0
"Akimoto, T., Mizuno, T., Saito, T., Murai, I., Kumada, T.",1996,Temperature dependency on counting efficiency of NE213 liquid scintillator for low level neutron measurement,"Sixth International Conference on Cold Fusion, Progress in New Hydrogen Energy",1,http://lenr-canr.org/acrobat/NEDOthesixthin.pdf#page=310,2018-11-29,"Examination of the temperature dependency on counting efficiency of a NE213 liquid scintillator showed that the efficiency decreased with the detector temperature. This was explained as a decrease in fluorescence emission of the scintillator with the temperature increase. Therefore, correction is needed for background data in electrolysis experiments.","neutron, detection, method, NE213, ICCF-6",39_NEDOthesixthin.pdf,,310.0,314.0
"Akita, H., Tsuchida, Y., Nakata, T., Kubota, A., Kobayashi, M., Yamamoto, Y., Hasegawa, N., Hayakawa, N., Kunimatsu, K.",1993,"Electrolytic Hydrogen/Deuterium Absorption into Pd, Pd-Rh, and Pd-Ag Alloys in Fuel Cell Type Closed Cell",Fourth International Conference on Cold Fusion,1,,,,"Pd, Pd-Ag, Pd-Rh, loading, Au, ICCF-4, electrolysis, D2O, H2O",,,,
"Al Katrib, A. K., Nagel, D. J.",2009,Can Water be the Origin of Excess Energy?,15th International Conference on Condensed Matter Nuclear Science,,http://lenr-canr.org/acrobat/ViolanteVproceeding.pdf#page=109,2013-08-05,"This study was initiated due to the concern of some critics of LENR research that small energy changes in many H2O or D2O molecules in electrochemical cells can explain observed excess heat. More than three hundred LENR papers from 1989 to 2008 that reported excess energy were acquired and reviewed to extract quantitative results and other information. Excess energies and cell volumes were found in 17 papers. These data were used to compute eV per water molecule values. Most experiments showed excess energy outputs that would lead to ratios below the vibrational energy of water molecules at room temperature (0.04 eV/molecule). However, 65% of the papers, which reported both excess energies and cell volumes, indicated values significantly higher. The highest  reported value was 42.6 eV/molecule. Eleven ratios are far beyond what is plausible for water to be the source of anomalous heat. Therefore, it is concluded that some unknown rearrangement of water molecules in many LENR experiments is not the source of excess heat.",,41_ViolanteVproceeding.pdf,,109.0,115.0
"Alabin, K., Andreev, S. N., Sobolev, A. G., Zabavin, S. N., Parkhomov, A., Timerbulatov, T. R.",2018,Isotopic and Elemental Composition of Substance in Nickel?Hydrogen Heat Generators,J. Condensed Matter Nucl. Sci.,26,http://lenr-canr.org/acrobat/BiberianJPjcondensedy.pdf#page=37,2018-08-29,Results of isotopic and elemental composition analyses of fuel and matter near the active zone of nickel?hydrogen reactors before and after experiment with the integral excess energy up to 790 MJ are presented. No significant changes in the isotopic composition of nickel or lithium were observed. A significant increase in the concentration of impurities of a number of nuclides has been observed not only in fuel but also in structural elements adjacent to the active zones of the reactors.,"Elemental composition, Heat generation, Hydrogen, Isotopic composition, Nickel",42_BiberianJPjcondensedy.pdf,,37.0,49.0
